horizon,n,n_pos,pr_auc_perfect,pr_auc_real,recall_perfect,recall_real
1,1089,17,0.48200677020376037,0.47195469572924453,1.0,1.0
2,1089,17,0.38793592825156664,0.3472123295375238,1.0,0.9411764705882353
3,1089,17,0.4089073090314651,0.29502664999228867,1.0,1.0
4,1089,17,0.35690832448715404,0.25220671955970647,1.0,1.0
5,1089,17,0.38720212946715354,0.3169473613084868,1.0,1.0
6,1089,17,0.40405751768092035,0.30905737114782533,1.0,1.0
7,1089,17,0.3741851721229637,0.2677884495451486,0.9411764705882353,0.8823529411764706
